Circuit Name,No of Lines,No of Gates,Library,Fault Model,Population Size,Threshold,Total Faults,Detected Faults,Fault Coverage,Minimal Vector Set,Execution Time,Detected Fault Locations
3_17_13,3,6,MCT,SA-0,20,100.0,13,13,100.0,"[5, 6]",0.0,"{'Level_1_Wire_0', 'Level_4_Wire_1', 'Level_4_Wire_2', 'Level_1_Wire_1', 'Level_5_Wire_1', 'Level_0_Wire_0', 'Level_3_Wire_0', 'Level_3_Wire_1', 'Level_5_Wire_0', 'Level_2_Wire_1', 'Level_4_Wire_0', 'Level_3_Wire_2', 'Level_2_Wire_0'}"
4_49_17,4,12,MCT,SA-0,20,100.0,27,27,100.0,"[10, 13]",0.03200000000651926,"{'Level_4_Wire_1', 'Level_11_Wire_1', 'Level_7_Wire_1', 'Level_8_Wire_1', 'Level_8_Wire_0', 'Level_0_Wire_0', 'Level_10_Wire_0', 'Level_3_Wire_0', 'Level_10_Wire_1', 'Level_11_Wire_0', 'Level_3_Wire_1', 'Level_6_Wire_1', 'Level_5_Wire_0', 'Level_4_Wire_0', 'Level_3_Wire_2', 'Level_2_Wire_0', 'Level_7_Wire_0', 'Level_6_Wire_0', 'Level_0_Wire_1', 'Level_1_Wire_0', 'Level_5_Wire_1', 'Level_7_Wire_2', 'Level_8_Wire_2', 'Level_2_Wire_1', 'Level_6_Wire_2', 'Level_9_Wire_0', 'Level_5_Wire_2'}"
4gt12-v0_86,5,14,MCT,SA-0,20,100.0,34,34,100.0,"[8, 23]",0.062000000005355105,"{'Level_4_Wire_1', 'Level_11_Wire_1', 'Level_7_Wire_1', 'Level_6_Wire_4', 'Level_8_Wire_1', 'Level_8_Wire_0', 'Level_0_Wire_0', 'Level_10_Wire_0', 'Level_3_Wire_0', 'Level_10_Wire_1', 'Level_11_Wire_0', 'Level_3_Wire_1', 'Level_6_Wire_1', 'Level_5_Wire_0', 'Level_4_Wire_0', 'Level_6_Wire_0', 'Level_7_Wire_0', 'Level_2_Wire_0', 'Level_0_Wire_1', 'Level_1_Wire_0', 'Level_6_Wire_3', 'Level_12_Wire_0', 'Level_1_Wire_1', 'Level_5_Wire_1', 'Level_7_Wire_2', 'Level_12_Wire_1', 'Level_9_Wire_1', 'Level_8_Wire_2', 'Level_2_Wire_1', 'Level_6_Wire_2', 'Level_7_Wire_3', 'Level_9_Wire_0', 'Level_13_Wire_0', 'Level_13_Wire_1'}"
alu-v0_26,5,6,MCT,SA-0,20,100.0,14,14,100.0,"[15, 22]",0.015999999988707714,"{'Level_1_Wire_0', 'Level_4_Wire_2', 'Level_4_Wire_1', 'Level_1_Wire_1', 'Level_0_Wire_0', 'Level_3_Wire_0', 'Level_2_Wire_3', 'Level_3_Wire_1', 'Level_2_Wire_2', 'Level_2_Wire_1', 'Level_4_Wire_0', 'Level_5_Wire_0', 'Level_2_Wire_0', 'Level_0_Wire_1'}"
cnt3-5_180,16,20,MCT,SA-0,20,100.0,60,60,100.0,"[56671, 27357, 65535, 55766, 21974, 54150, 38233, 30389]",0.21800000000803266,"{'Level_11_Wire_1', 'Level_7_Wire_1', 'Level_8_Wire_1', 'Level_14_Wire_2', 'Level_8_Wire_0', 'Level_16_Wire_1', 'Level_10_Wire_0', 'Level_3_Wire_0', 'Level_11_Wire_0', 'Level_17_Wire_0', 'Level_6_Wire_1', 'Level_14_Wire_0', 'Level_5_Wire_0', 'Level_7_Wire_0', 'Level_1_Wire_2', 'Level_12_Wire_2', 'Level_5_Wire_3', 'Level_1_Wire_1', 'Level_16_Wire_2', 'Level_13_Wire_3', 'Level_17_Wire_3', 'Level_15_Wire_0', 'Level_9_Wire_1', 'Level_1_Wire_3', 'Level_8_Wire_2', 'Level_10_Wire_2', 'Level_13_Wire_2', 'Level_9_Wire_3', 'Level_2_Wire_2', 'Level_9_Wire_0', 'Level_9_Wire_2', 'Level_5_Wire_2', 'Level_13_Wire_1', 'Level_4_Wire_1', 'Level_17_Wire_2', 'Level_0_Wire_0', 'Level_18_Wire_2', 'Level_17_Wire_1', 'Level_19_Wire_1', 'Level_10_Wire_1', 'Level_3_Wire_1', 'Level_15_Wire_1', 'Level_4_Wire_0', 'Level_6_Wire_0', 'Level_19_Wire_0', 'Level_2_Wire_0', 'Level_0_Wire_2', 'Level_14_Wire_1', 'Level_0_Wire_1', 'Level_16_Wire_0', 'Level_18_Wire_0', 'Level_1_Wire_0', 'Level_4_Wire_2', 'Level_12_Wire_0', 'Level_5_Wire_1', 'Level_12_Wire_1', 'Level_18_Wire_1', 'Level_2_Wire_1', 'Level_6_Wire_2', 'Level_13_Wire_0'}"
cycle10_2_110,12,19,MCT,SA-0,20,100.0,119,119,100.0,"[2995, 891, 2012, 1502, 3923, 1964]",0.39100000000325963,"{'Level_2_Wire_5', 'Level_7_Wire_1', 'Level_14_Wire_5', 'Level_14_Wire_2', 'Level_8_Wire_0', 'Level_16_Wire_1', 'Level_10_Wire_0', 'Level_11_Wire_0', 'Level_17_Wire_0', 'Level_6_Wire_1', 'Level_3_Wire_2', 'Level_7_Wire_0', 'Level_9_Wire_6', 'Level_1_Wire_2', 'Level_12_Wire_2', 'Level_5_Wire_3', 'Level_11_Wire_6', 'Level_14_Wire_3', 'Level_15_Wire_4', 'Level_1_Wire_1', 'Level_16_Wire_2', 'Level_0_Wire_9', 'Level_0_Wire_7', 'Level_9_Wire_1', 'Level_0_Wire_8', 'Level_9_Wire_5', 'Level_1_Wire_6', 'Level_15_Wire_2', 'Level_13_Wire_2', 'Level_11_Wire_4', 'Level_9_Wire_2', 'Level_0_Wire_4', 'Level_13_Wire_4', 'Level_5_Wire_2', 'Level_17_Wire_2', 'Level_14_Wire_4', 'Level_10_Wire_3', 'Level_11_Wire_7', 'Level_17_Wire_1', 'Level_15_Wire_1', 'Level_12_Wire_7', 'Level_1_Wire_5', 'Level_0_Wire_2', 'Level_0_Wire_1', 'Level_16_Wire_0', 'Level_18_Wire_0', 'Level_10_Wire_5', 'Level_12_Wire_6', 'Level_4_Wire_2', 'Level_1_Wire_7', 'Level_11_Wire_2', 'Level_3_Wire_6', 'Level_1_Wire_4', 'Level_12_Wire_1', 'Level_11_Wire_3', 'Level_18_Wire_1', 'Level_16_Wire_3', 'Level_4_Wire_5', 'Level_6_Wire_2', 'Level_10_Wire_9', 'Level_3_Wire_4', 'Level_9_Wire_10', 'Level_10_Wire_7', 'Level_11_Wire_1', 'Level_12_Wire_5', 'Level_8_Wire_1', 'Level_12_Wire_3', 'Level_3_Wire_0', 'Level_5_Wire_4', 'Level_14_Wire_0', 'Level_5_Wire_0', 'Level_13_Wire_5', 'Level_9_Wire_4', 'Level_13_Wire_3', 'Level_0_Wire_6', 'Level_13_Wire_6', 'Level_4_Wire_4', 'Level_7_Wire_2', 'Level_15_Wire_0', 'Level_1_Wire_3', 'Level_10_Wire_6', 'Level_12_Wire_4', 'Level_9_Wire_7', 'Level_10_Wire_2', 'Level_15_Wire_3', 'Level_2_Wire_4', 'Level_9_Wire_9', 'Level_9_Wire_3', 'Level_2_Wire_2', 'Level_9_Wire_8', 'Level_9_Wire_0', 'Level_10_Wire_8', 'Level_13_Wire_1', 'Level_4_Wire_1', 'Level_4_Wire_3', 'Level_2_Wire_7', 'Level_0_Wire_3', 'Level_0_Wire_5', 'Level_0_Wire_0', 'Level_2_Wire_3', 'Level_10_Wire_1', 'Level_3_Wire_1', 'Level_4_Wire_0', 'Level_2_Wire_0', 'Level_6_Wire_0', 'Level_14_Wire_1', 'Level_1_Wire_0', 'Level_3_Wire_5', 'Level_6_Wire_3', 'Level_12_Wire_0', 'Level_3_Wire_3', 'Level_5_Wire_1', 'Level_11_Wire_5', 'Level_1_Wire_8', 'Level_11_Wire_8', 'Level_2_Wire_6', 'Level_10_Wire_4', 'Level_2_Wire_1', 'Level_13_Wire_0'}"
graycode6_47,6,5,NCT,SA-0,20,100.0,10,10,100.0,"[63, 31, 29]",0.0,"{'Level_1_Wire_0', 'Level_4_Wire_1', 'Level_1_Wire_1', 'Level_0_Wire_0', 'Level_3_Wire_0', 'Level_3_Wire_1', 'Level_2_Wire_1', 'Level_4_Wire_0', 'Level_2_Wire_0', 'Level_0_Wire_1'}"
ham3_102,3,5,MCT,SA-0,20,100.0,11,11,100.0,"[5, 7]",0.0,"{'Level_1_Wire_0', 'Level_4_Wire_1', 'Level_1_Wire_1', 'Level_3_Wire_1', 'Level_2_Wire_1', 'Level_4_Wire_0', 'Level_2_Wire_0', 'Level_0_Wire_2', 'Level_0_Wire_1', 'Level_0_Wire_0', 'Level_3_Wire_0'}"
hwb4_51,4,11,MCF,SA-0,20,100.0,32,32,100.0,"[15, 14]",0.030999999988125637,"{'Level_4_Wire_1', 'Level_7_Wire_1', 'Level_8_Wire_1', 'Level_8_Wire_0', 'Level_0_Wire_3', 'Level_0_Wire_0', 'Level_10_Wire_0', 'Level_3_Wire_0', 'Level_10_Wire_1', 'Level_3_Wire_1', 'Level_6_Wire_1', 'Level_5_Wire_0', 'Level_4_Wire_0', 'Level_2_Wire_0', 'Level_6_Wire_0', 'Level_7_Wire_0', 'Level_0_Wire_2', 'Level_0_Wire_1', 'Level_5_Wire_3', 'Level_1_Wire_0', 'Level_4_Wire_2', 'Level_1_Wire_1', 'Level_5_Wire_1', 'Level_7_Wire_2', 'Level_9_Wire_1', 'Level_10_Wire_2', 'Level_2_Wire_1', 'Level_2_Wire_2', 'Level_6_Wire_2', 'Level_9_Wire_0', 'Level_9_Wire_2', 'Level_5_Wire_2'}"
mod5d1_63,5,7,MCT,SA-0,20,100.0,15,15,100.0,"[6, 25]",0.01600000000325963,"{'Level_1_Wire_0', 'Level_4_Wire_1', 'Level_4_Wire_2', 'Level_1_Wire_1', 'Level_5_Wire_1', 'Level_0_Wire_0', 'Level_3_Wire_0', 'Level_3_Wire_1', 'Level_6_Wire_1', 'Level_5_Wire_0', 'Level_4_Wire_0', 'Level_2_Wire_1', 'Level_2_Wire_0', 'Level_6_Wire_0', 'Level_0_Wire_1'}"
